context,default_entry_prefix,item_separator,entry_prefix,entry_node_type,item_label,item_node_type,item_link_type,list_delimiter,item_prefix_separator,item_prefixes
bibtex,,,,works,author,actors,author," and ",,
bibtex,,,,works,editor,actors,superauthor," and ",,
bibtex,,,,works,collaborator,actors,collaborator,,,
bibtex,,,,works,title,works,title,,,
bibtex,,,,works,journal,works,supertitle,,,
bibtex,,,,works,booktitle,works,supertitle,,,
bibtex,,,,works,school,actors,affiliation,,,
bibtex,,,,works,year,dates,published,,,
bibtex,,,,works,volume,works,volume,,,
bibtex,,,,works,number,works,number,,,
bibtex,,,,works,pages,works,page,--,,
bibtex,,,,works,doi,identifiers,doi,,,
manual,wrk,__,wrk,works,0,actors,author,_,,
manual,wrk,__,wrk,works,1,dates,published,,,
manual,wrk,__,wrk,works,2,,,,_,s t
manual,wrk,__,wrk,works,3,works,volume,,,
manual,wrk,__,wrk,works,4,works,page,,,
manual,wrk,__,wrk,works,5,identifiers,doi,,,
manual,wrk,__,wrk,works,s,works,supertitle,,,
manual,wrk,__,wrk,works,t,works,title,,,
manual,wrk,__,fun,agreements,0,actors,funder,_,,
manual,wrk,__,fun,agreements,1,agreements,title,_,,
manual,wrk,__,ack,,0,actors,,_,,
manual,wrk,__,org,,0,actors,,_,,
manual,wrk,__,qte,,0,quote,,,,
manual,wrk,__,not,,0,note,,,,